Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,V,XOM
2019-05-06,-0.015442781950912088,-0.006068961956673058,0.0032868732641755383,0.0005631926561151523,-0.008869978047194027,-0.005818412158987152,-0.01726652823465169,0.0012155112018303882,0.0014809259002011022,-0.004389011119388164
2019-05-07,-0.02695698357260712,-0.015149504925400126,-0.01223330179740656,-0.014920428003962205,-0.016335017432768772,-0.02052298147019016,-0.03747568014159053,-0.03242735395158203,-0.012755556165500836,-0.005315749635976141
2019-05-08,0.00019696072874686443,-0.0016814851400369646,-0.006854127572752611,-0.001285797756468643,-0.00529976985642866,-7.959066847351703e-05,0.004678877193761144,-0.008985714919320764,0.003432872707674006,0.0015639999196894738
2019-05-09,-0.010743979576627982,-0.009333722778829934,-0.0024001760011209683,-0.007582572361626405,-0.0007993899367206847,-7.953265684246258e-05,-0.021446702512052496,-0.011681069548660883,-0.005909419705454222,-0.0009107487405256576
2019-05-10,-0.013853478511407169,-0.005205610992477072,-0.0002825549769613911,0.0023064883946732895,-8.896366341104578e-05,0.012987956536707923,-0.00804991791153864,-0.010166102021160528,0.005631688040158345,0.008695427603108818
2019-05-13,-0.05811971065490751,-0.035608819608768605,-0.02659209746430924,-0.013304652345122459,-0.027197710614872417,-0.02973329461583951,-0.06142601047698071,-0.052229494360313766,-0.02103154370261795,-0.011102254365018327
2019-05-14,0.01583053754263508,0.009568262041155462,-0.010320217155271871,-0.0027695939117210466,0.007948999255179334,0.011187734125371662,0.022656964122356404,0.02334699863237777,0.01830545128195693,0.0013208779440270213
2019-05-15,0.011979132418931782,0.01686309695084587,0.04084059194150691,0.0006580299005567447,-0.0038070488160237836,0.014082042925088745,-0.015181632830647773,-0.00154966432150061,0.01610390941179851,0.007386747902307977
2019-05-16,-0.004399676409824194,0.01946395630546416,0.011701320987624442,0.009495315748809796,0.012829991027431209,0.023091563403039306,0.003822663331582099,-0.01560679096708617,0.014334808706676583,-0.00013083440497330123
2019-05-17,-0.005681843788354346,-0.020219492921261684,-0.013271437709638456,0.0028941697695292756,-0.004851462236328485,-0.006670142012152658,-0.022847857851807207,-0.07576748791335908,-0.00473100524227521,-0.005893057707892058
2019-05-20,-0.03126982445614579,-0.005366456690264809,-0.020636814689550254,-0.0013710026717592694,0.005236181751166358,-0.014445163685488316,-0.030537352298347642,-0.02686823480397693,-0.0037781701487195063,-0.00013175963335065877
2019-05-21,0.01917081282780364,-0.0007800247985996211,0.008544057256213655,-0.002167188031317324,0.0034127265454706457,0.005387225606543478,0.021812177710560654,-0.0013634997375607805,0.002385566506459602,0.004611400233225371
2019-05-22,-0.0204715652254418,0.0011628591845380676,0.0012213570749264324,0.004633349729965097,-0.00814475195506048,0.00606788636908373,-0.018444587783966626,-0.06022036210467108,0.0023191123843315786,-0.009049161724532295
2019-05-23,-0.017069731033808155,-0.02376751975512159,-0.00909292830532904,0.0074229492315978085,-0.01967149545083091,-0.011670878932600992,-0.032063087788513855,0.014320552722358215,-0.016622225970206905,-0.023425223352665947
2019-05-24,-0.0038407329789490463,0.004296377605180091,-0.005876002767996713,7.204160286367056e-05,0.009848998846322177,0.0004755261237101571,-0.014729750928205165,-0.02486063325357668,0.0069968093597359005,0.004201013278108956
2019-05-28,-0.004134666053874025,0.007212290050219838,0.0008344455121689354,-0.012819576863530746,-0.0108468595618737,-0.0006334997659193098,-0.012538458494471771,-0.010124341109633561,0.0065789428709353,-0.020107731496727066
2019-05-29,-0.004769008812519515,-0.009387773958249856,-0.017217262858760796,-0.041876509867354694,-0.0027643657780107578,-0.009670391711358861,-0.020861172041676257,0.006147333130873456,-0.005986414094103942,-0.006197754446625958
2019-05-30,0.005186621888968235,-0.001577639243082074,0.0013125084277758603,0.005939280785301593,-0.010718789670975393,0.006323115164972526,-0.007633030848324118,-0.008637920413351985,0.00018437717264196962,-0.002632904712893125
2019-05-31,-0.01811565029009865,-0.022710755340790256,-0.013295662846867451,-0.007266615332951143,-0.010275021530110062,-0.016304916497900446,-0.026238243861179233,-0.016257608189742534,-0.00878601669608614,-0.01667373635639502
2019-06-03,-0.010110147453166962,-0.04640947352034053,-0.06123814509355208,0.0022112973251831036,0.0047190448442084865,-0.031047929591539347,-0.012402147856584222,-0.03343059616543187,-0.016921560751233633,0.015684855228712324
2019-06-04,0.036583866618443706,0.02178187690076805,0.015162591816055615,0.017422303671697392,0.03080955059766688,0.027703760382111975,0.0689193123874956,0.08174561896341825,0.0235181068942949,0.02378942094016967
2019-06-05,0.01614325991853871,0.005169016882808464,-0.009340964430169296,0.004860564059733008,0.003553847846486935,0.021679109509209926,-0.012028054659057208,0.01544420373527533,0.01885056144154862,-0.00828915347326642
2019-06-06,0.014681760910966402,0.009122798271355315,0.0029867569569730357,0.017115567849536273,0.002179409295350432,0.015815110830087686,0.01769540950616233,0.0476117502048552,0.009250848116856503,0.018224214008845774
2019-06-07,0.02661707063366414,0.02831229113708922,0.019670385757649234,0.013681662751596768,-0.010963143615213222,0.0280078562705377,0.011962603202425592,-0.007040519976872828,0.018751173982324953,0.003633297120755108
2019-06-10,0.01277944396654318,0.03137422141504986,0.013469106190644231,0.0033923954631869258,0.010809643303245409,0.009132523828687678,0.020137579582890863,0.0409780333593881,0.004528514425340191,0.004425137189159489
2019-06-11,0.011579525120108736,0.001649933470424525,-0.0015885250675372609,0.005466524532215189,0.0030815725929027593,-0.003770574181072628,0.01562995184563931,0.01982334850283829,-0.0029859661543391036,-0.0009348309504526586
2019-06-12,-0.0031824431352354132,-0.004496418192190821,-0.0017944990159541874,0.013592843823903467,-0.012739491032032202,-0.004618050843389954,-0.03018237115726008,-0.03611234292213106,0.007515763537150333,-0.010823105355503015
